ligand,receptor,source,target,ligand_expr,receptor_expr,score,pvalue
VCAM1,ITGA4,9,9,3.107142857142857,0.7928571428571428,2.4635204081632653,0.001996007984031936
VEGFA,FLT1,9,9,2.3285714285714287,1.042857142857143,2.4283673469387757,0.005988023952095809
CXCL12,CXCR4,7,3,2.284974093264249,1.0548245614035088,2.4102467957458416,0.021956087824351298
C3,C3AR1,1,3,5.276,0.45394736842105265,2.395026315789474,0.001996007984031936
VCAM1,ITGA4,8,3,2.052325581395349,1.1666666666666667,2.394379844961241,0.001996007984031936
VEGFA,FLT1,2,8,0.8805970149253731,2.7093023255813953,2.385803540437348,0.001996007984031936
CXCL12,CXCR4,4,5,7.712435233160622,0.3029197080291971,2.336248629023108,0.029940119760479042
VEGFA,FLT1,8,2,7.843023255813954,0.29637526652452023,2.324478107799871,0.001996007984031936
VEGFA,FLT1,4,6,4.139896373056994,0.56,2.318341968911917,0.001996007984031936
VCAM1,ITGA4,4,4,5.766839378238342,0.4015544041450777,2.315699750328868,0.001996007984031936
C3,C3AR1,9,1,3.5357142857142856,0.654,2.312357142857143,0.001996007984031936
VEGFA,FLT1,2,4,0.8805970149253731,2.6139896373056994,2.3018714716572575,0.001996007984031936
CXCL12,CXCR4,1,1,1.656,1.37,2.26872,0.015968063872255488
TGFB1,TGFBR2,9,4,0.3,6.935233160621761,2.0805699481865285,0.001996007984031936
VEGFA,FLT1,8,1,7.843023255813954,0.264,2.0705581395348838,0.001996007984031936
C3,C3AR1,4,9,1.3290155440414508,1.5571428571428572,2.0694670614359736,0.001996007984031936
CD34,SELL,8,3,2.197674418604651,0.9407894736842105,2.067548959608323,0.001996007984031936
C3,C3AR1,1,4,5.276,0.3911917098445596,2.063927461139896,0.001996007984031936
VEGFA,FLT1,9,5,2.3285714285714287,0.8759124087591241,2.039624608967675,0.001996007984031936
TGFB1,TGFBR2,8,4,0.28488372093023256,6.935233160621761,1.9757350283166646,0.001996007984031936
