ligand,receptor,source,target,ligand_expr_ctrl,receptor_expr_ctrl,score_ctrl,key,score_rej,ligand_expr_rej,receptor_expr_rej,log2FC
ANGPT1,TEK,4,3,0.9545454545454546,0.0,0.0,ANGPT1_TEK_4_3,0.10628416750703253,0.536144578313253,0.19823788546255505,6.745293375427186
PDGFA,PDGFRA,2,4,0.0,2.2181818181818183,0.0,PDGFA_PDGFRA_2_4,0.10624080906065377,0.15203426124197003,0.6987951807228916,6.744710198424453
VEGFA,KDR,2,2,0.0,0.0,0.0,VEGFA_KDR_2_2,0.10415472582294384,0.8843683083511777,0.11777301927194861,6.716369878342931
PDGFB,PDGFRB,6,6,0.3333333333333333,0.0,0.0,PDGFB_PDGFRB_6_6,0.10062089116143169,0.25675675675675674,0.3918918918918919,6.667053210750412
PDGFB,PDGFRB,3,3,0.0,2.0,0.0,PDGFB_PDGFRB_3_3,0.09914805255293137,0.28854625550660795,0.3436123348017621,6.645990557010766
PDGFB,PDGFRB,2,6,0.0,0.0,0.0,PDGFB_PDGFRB_2_6,0.09734359627293246,0.24839400428265523,0.3918918918918919,6.619759208132729
CXCL10,CXCR3,4,6,0.32272727272727275,0.0,0.0,CXCL10_CXCR3_4_6,0.09671116900032563,2.3855421686746987,0.04054054054054054,6.610451575611335
PDGFB,PDGFRB,5,2,0.3707865168539326,0.0,0.0,PDGFB_PDGFRB_5_2,0.0948302233098807,0.14285714285714285,0.6638115631691649,6.582408825407439
FGF2,FGFR1,3,5,0.0,0.5767790262172284,0.0,FGF2_FGFR1_3_5,0.09439899307740716,0.22026431718061673,0.42857142857142855,6.5759021337607315
CCL5,CCR5,5,3,0.1647940074906367,0.0,0.0,CCL5_CCR5_5_3,0.09439899307740718,0.5714285714285714,0.16519823788546256,6.5759021337607315
ICAM1,ITGAL,3,6,1.0,0.0,0.0,ICAM1_ITGAL_3_6,0.09405881652577687,0.5220264317180616,0.18018018018018017,6.570748535208222
TNF,TNFRSF1A,2,4,0.0,2.5681818181818183,0.0,TNF_TNFRSF1A_2_4,0.09403782152163256,0.057815845824411134,1.6265060240963856,6.570429861624126
TGFB1,TGFBR2,2,10,0.0,0.6458333333333334,0.0,TGFB1_TGFBR2_2_10,0.09299479963291526,0.08137044967880086,1.1428571428571428,6.554509035173984
TGFB1,TGFBR1,2,4,0.0,1.8909090909090909,0.0,TGFB1_TGFBR1_2_4,0.09215448517840098,0.08137044967880086,1.1325301204819278,6.541553328239549
CD80,CD28,3,5,0.0,0.21348314606741572,0.0,CD80_CD28_3_5,0.09188168659534297,0.16079295154185022,0.5714285714285714,6.537322264556874
CXCL10,CXCR3,10,3,0.020833333333333332,0.0,0.0,CXCL10_CXCR3_10_3,0.09188168659534297,0.5714285714285714,0.16079295154185022,6.537322264556874
ANGPT1,TEK,2,4,0.0,1.190909090909091,0.0,ANGPT1_TEK_2_4,0.09138051133871675,0.09850107066381156,0.927710843373494,6.529516626610025
TGFB1,TGFBR2,6,6,0.0,2.3333333333333335,0.0,TGFB1_TGFBR2_6_6,0.0903335768200633,0.06306306306306306,1.4324324324324325,6.513073428333855
CCL5,CCR5,3,2,0.0,0.0,0.0,CCL5_CCR5_3_2,0.089482968427209,2.458149779735683,0.03640256959314775,6.499574354729745
CD34,SELL,2,2,1.0,0.0,0.0,CD34_SELL_2_2,0.08935801438862116,0.4346895074946467,0.20556745182012848,6.4975806628387645
PDGFA,PDGFRA,3,4,0.0,2.2181818181818183,0.0,PDGFA_PDGFRA_3_4,0.08927339313199936,0.1277533039647577,0.6987951807228916,6.4962289302924825
CD34,SELL,6,2,1.0,0.0,0.0,CD34_SELL_6_2,0.08889403321951503,0.43243243243243246,0.20556745182012848,6.490153453894064
PDGFA,PDGFRA,6,4,0.0,2.2181818181818183,0.0,PDGFA_PDGFRA_6_4,0.08813632910018451,0.12612612612612611,0.6987951807228916,6.4779416425777745
CD34,SELL,5,2,0.50187265917603,0.0,0.0,CD34_SELL_5_2,0.08810033649434078,0.42857142857142855,0.20556745182012848,6.477358975094718
TGFB1,TGFBR2,6,3,0.0,7.0,0.0,TGFB1_TGFBR2_6_3,0.0865380799301504,0.06306306306306306,1.3722466960352422,6.451838834980046
CXCL9,CXCR3,4,6,0.17272727272727273,0.0,0.0,CXCL9_CXCR3_4_6,0.0862097036795832,2.1265060240963853,0.04054054054054054,6.446416765113605
TNF,TNFRSF1B,10,4,0.0,0.43636363636363634,0.0,TNF_TNFRSF1B_10_4,0.08605851979345956,0.14285714285714285,0.6024096385542169,6.443913585897744
TGFB1,TGFBR1,10,6,0.0,0.3333333333333333,0.0,TGFB1_TGFBR1_10_6,0.0858000858000858,0.19047619047619047,0.45045045045045046,6.439624563631968
PDGFB,PDGFRB,2,3,0.0,2.0,0.0,PDGFB_PDGFRB_2_3,0.08535124376232206,0.24839400428265523,0.3436123348017621,6.4321450526857005
